pref,population,male_ratio
北海道,5382 ,89.2
青森,1308 ,88.6
岩手,1280 ,92.7
宮城,2334 ,95.5
秋田,1023 ,88.5
山形,1124 ,92.6
福島,1914 ,97.7
茨城,2917 ,99.3
栃木,1974 ,98.9
群馬,1973 ,97.3
埼玉,7267 ,99.7
千葉,6223 ,99
東京,13515 ,97.3
神奈川,9126 ,99.8
新潟,2304 ,93.8
富山,1066 ,93.5
石川,1154 ,93.8
福井,787 ,94.1
山梨,835 ,95.7
長野,2099 ,94.9
岐阜,2032 ,93.9
静岡,3700 ,96.9
愛知,7483 ,100
三重,1816 ,94.8
滋賀,1413 ,97.3
京都,2610 ,91.7
大阪,8839 ,92.9
兵庫,5535 ,91.3
奈良,1364 ,89.4
和歌山,964 ,88.8
鳥取,573 ,91.3
島根,694 ,92.2
岡山,1922 ,92.3
広島,2844 ,93.8
山口,1405 ,89.9
徳島,756 ,90.9
香川,976 ,93.7
愛媛,1385 ,89.5
高知,728 ,88.9
福岡,5102 ,89.6
佐賀,833 ,89.4
長崎,1377 ,88.3
熊本,1786 ,89
大分,1166 ,89.8
宮崎,1104 ,88.8
鹿児島,1648 ,88.3
沖縄,1434 ,96.7
